T35,Net disbursements of official development assistance from donors,,,,,
208,Denmark,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,541",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,641",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,867",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.82,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.07,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.85,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.97,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.88,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
208,Denmark,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.96,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
233,Estonia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
